Country,Alpha-2,Alpha-3,Continent,Etymologi
Afghanistan,AF,AFG,Asia,"""Land of the Afghans"", the root name ""Afghan"" is, according to some scholars, derived from the name of the A?vakan or Assakan, ancient inhabitants of the Hindu Kush region.[1][2][3][4][5] A?vakan literally means ""horsemen"", ""horse breeders"", or ""cavalrymen"" (from a?va or aspa, the Sanskrit and Avestan words for ""horse"").[6] Historically, the ethnonym Afgh?n was used to refer to ethnic Pashtuns.[7] The Persian form of the name, Af??n was first attested in the 10th-century geography book Hudud al-'Alam.[8] The last part of the name, ""-stan"" is a Persian suffix for ""place of."" Therefore, ""Afghanistan"" translates to ""land of the Afghans,"" or ""land of the Pashtuns"" in a historical sense. The modern Constitution of Afghanistan, however, states that the word ""Afghan"" shall apply to every citizen of Afghanistan. Kabulistan, a former name: ""Land of Kabul"", a city probably deriving its name from the nearby Kabul River which was known in Sanskrit and Avestan as the Kubh?,[11] possibly from Scythian ku (""water"").[12] The city has also been linked to the Kabolitae (Ancient Greek: ?????????, Kab?lîtai)[13] and Cabura (???????, Káboura).[14] The Hindu Rigveda praises Kubh? as an ""ideal city."""
Albania,AL,ALB,Europe,"""Land of the Albanians"", Latinized from Byzantine Greek Albanía, land of the rebel Albanoi mentioned in Michael Attaliates The History around AD 1080.[17] In her Alexiad, Anna Comnena also mentions a settlement called Albanon or Arbanon.[18] Both may be survivals of the earlier Illyrian tribe, the Albani of the Albanopolis northeast of modern Durrës which appears in Ptolemy around AD 150.[19][20] The demonym has been supposed to ultimately originate from Latin alba (""white"")[citation needed] or from the proposed Proto-Indo-European *alb (""hill"") or *alb- (""white""). Arbëri, its medieval endonym: ""Land of the Albanians"" in Albanian, presumably from the same source as above by way of rhotacism. An Arbanitai were mentioned in Attaliates's History as subjects of the Duke of Dyrrachium, near modern Durrës. Arnavutluk, its Ottoman Turkish name: ""Land of the Albanians"", a metathesis from Byzantine Greek Arbanitai and the Turkish locative suffix -lik or -luk. Shqipëri, its modern endonym: ""Land of the Understanding"", from the Albanian adverb shqip, ""understanding each other"".[23][24] A popular pseudoetymology (""Land of the Eagles"") erroneously derives it instead from shqiponjë (""eagle"")"
Algeria,DZ,DZA,Africa,"""Land of Algiers"", a Latinization of French colonial name l'Algérie adopted in 1839.[25] The city's name derives from French Alger, itself from Catalan Aldjère,[26] from the Ottoman Turkish Cezayir and Arabic al-Jaz??ir (???????, ""the Islands""). This was a truncated form of the city's older name, Jaz?’ir Ban? M?z??nna (????? ??? ??????, ""Islands of the sons of Maz?ann?""), which referred to four islands off the city's coast which were held by a local Sanhaja tribe.[27][28] (These islands joined the mainland in 1525.) An alternate theory traces the Arabic further back to a transcription of the Berber Ldzayer in reference to Ziri ibn Manad,[citation needed] founder of the Zirid dynasty, whose son Buluggin ibn Ziri resettled the city.[29] In Berber, ziri means ""moonlight"". Algiers[30] or Algier,[31] former names: As above."
Andorra,AD,AND,Europe,"Etymology unknown. Andorra was established as part of Charlemagne's Marca Hispanica and its name may derive from Arabic ad-Darra (?????, ""the Forest"")[32] or Navarro-Aragonese andurrial (""scrubland"").[33] One folk etymology holds that it derives from the Biblical Endor, a name bestowed by Louis le Debonnaire after defeating the Moors in the ""wild valleys of Hell"""
Angola,AO,AGO,Africa,"""Land of Ndongo"", from the Portuguese colonial name (Reino de Angola),[35] which erroneously derived a toponym from the Mbundu title ngola a kiluanje (""conquering ngola"", a priestly title originally denoting a ""chief smith"",[36][37] then eventually ""king"") held by Ndambi a Ngola (Portuguese: Dambi Angola) as lord of Ndongo, a state in the highlands between the Kwanza and Lukala Rivers."
Antigua and Barbuda,AG,ATG,North_America,"Antigua: ""Ancient"", corrected from earlier Antego,[38] a truncation of the Spanish Santa Maria la Antigua,[39] bestowed in 1493 by Christopher Columbus in honor of the Virgen de la Antigua (""Virgin of the Old Cathedral""[40]), a revered mid-14th-century icon in the Chapel of La Antigua in Seville Cathedral. Barbuda: ""Bearded"" in Spanish, corrected from earlier Barbado, Berbuda, Barbouthos, &c.[38][42] This may derive from the appearance of the island's fig trees or from the beards of the indigenous people."
Argentina,AR,ARG,South_America,"The first description of the region by the word Argentina has been found on a Venetian map in 1536.[43] The name ""Argentina"" comes from Italian. Argentina (masculine argentino) means in Italian ""(made) of silver, silver coloured"", derived from the Latin ""argentum"" for silver. La Argentina (""the silvery""), a 17th-century truncation of Tierra Argentina (""Land beside the Silvery River"", lit. ""Silvery Land""), named via argento (either in Italian or poetic Spanish) in reference to the Río de la Plata, so called by Italian explorer Sebastian Cabot during his expedition there in the 1520s after acquiring some silver trinkets from the Guaraní along the Paraná near modern-day Asunción, Paraguay.["
Armenia,AM,ARM,Europe,"Etymology unknown. Latinized from Greek Armenía (???????), ""Land of the Armenioi"" (????????) attested in the 5th century BC,[45] from Old Persian Armina (Old Persian a.png Old Persian ra.png Old Persian mi.png Old Persian i.png Old Persian na.png) attested in the late 6th century BC,[46] of uncertain origin. It may be a continuation of the Assyrian Armânum[47] which was conquered by Naram-Sin in 2200 BC[48] and has been identified with an Akkadian colony in the Diarbekr region.[47] The name has also been claimed as a variant of the Urmani or Urmenu appearing in an inscription of Menuas of Urartu,[49] as a proposed tribe of the Hayasa-Azzi known as the Armens (Armenian: ????????, Armenner)[50][51] or as a continuation of the Biblical Minni (Hebrew: ????)[52] and Assyrian Minnai,[53] corresponding to the Mannai. (Addition of the Sumerogram ?AR would make this name equivalent to ""the mountainous region of the Minni"".[54][55]) Diakonoff derived the name from a proposed Urartian and Aramaic amalgam *Armnaia (""inhabitant of Arme"" or ""Urme""),[56] a region held by Proto-Armenians in the Sason mountains.[citation needed] Ultimately, the name has been connected to the Proto-Indo-European root *ar- (""assemble"", ""create"") also found in the word Ararat, Aryan, Arta, &c. The Armenians traditionally traced the name to an eponymous ancestor Aram (Armenian: ????),[59][60] sometimes equated with Arame, the earliest known king of Urartu.[61] Strabo derived the etymology from an Armenius of Armenium, a city on Lake Boebeïs in Thessaly,[62] while Herodotus called them Phrygian colonists. Hayastan, the local endonym: Etymology unknown. The modern Armenian Hayastan (????????) derives from earlier Armenian Hayk (????) and Persian -st?n (????). Hayk' derives from Old Armenian Hayk? (????), traditionally derived from a legendary patriarch named Hayk (????).[64] Aram above was considered to be one of his descendants."
Australia,AU,AUS,Oceania,"""Southern Land"" in Neo-Latin, adapted from the legendary pseudo-geographical Terra Australis Incognita (""Unknown Southern Land"") dating back to the Roman era. First appearing as a corruption of the Spanish name for an island in Vanuatu in 1625,[65] ""Australia"" was slowly popularized following the advocacy of the British explorer Matthew Flinders in his 1814 description of his circumnavigation of the island.[66] Lachlan Macquarie, a Governor of New South Wales, used the word in his dispatches to England and recommended it be formally adopted by the Colonial Office in 1817.[67] The Admiralty agreed seven years later and the continent became officially known as Australia in 1824.[68] In Flinders' book he published his rationale: ""There is no probability, that any other detached body of land, of nearly equal extent, will ever be found in a more southern latitude; the name Terra Australis will, therefore, remain descriptive of the geographical importance of this country, and of its situation on the globe: it has antiquity to recommend it; and, having no reference to either of the two claiming nations, appears to be less objectionable than any other which could have been selected.""[69] (Antarctica, the hypothesized land for which the name Terra Australis originally referred to, was sighted in 1820, and not explored until decades after Flinders' book had popularized this shift of the name.) Oz, a colloquial endonym: Likely a contraction from above. Folk etymology traces the name to the 1939 film, The Wizard of Oz, but the Oxford English Dictionary records the first occurrence as ""Oss"" in 1908.[70] Frank Baum's original book predates this and may have inspired the name,[71] but it is also possible Baum himself was influenced by Australia in his development of Oz.[72] Nova Hollandia, a former name: ""New Holland"" in Neo-Latin (Dutch: Nieuw Holland), after the Dutch province, bestowed by the Dutch explorer Abel Tasman in 1644. For the further etymology of Holland, see the Netherlands below."
Austria,AT,AUT,Europe,"""Eastern March"", Latinized as early as 1147 from German Österreich,[73] from Old High German Ostarrîchi (996) or Osterrîche (998),[74] from Medieval Latin Marchia Orientalis, an eastern prefecture for the Duchy of Bavaria established in 976."
